忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
18 ,38 ,24 ,43 ,45 ,41 
18 ,35 ,27 ,39 ,49 ,46 
19 ,33 ,34 ,41 ,54 ,49 
26 ,38 ,35 ,44 ,49 ,52 
35 ,39 ,33 ,50 ,40 ,56 
32 ,38 ,35 ,51 ,31 ,60 
41 ,41 ,34 ,48 ,33 ,52 
45 ,44 ,29 ,41 ,41 ,40 
46 ,44 ,29 ,42 ,50 ,38 
41 ,45 ,30 ,39 ,56 ,41 
36 ,48 ,28 ,47 ,54 ,43 
36 ,49 ,26 ,41 ,53 ,39 
31 ,49 ,24 ,43 ,57 ,36 
28 ,45 ,24 ,37 ,58 ,34 
27 ,32 ,29 ,37 ,60 ,31 
28 ,28 ,34 ,36 ,60 ,24 
21 ,27 ,31 ,30 ,59 ,20 
29 ,30 ,26 ,24 ,58 ,20 
29 ,27 ,28 ,21 ,55 ,16 
36 ,24 ,32 ,14 ,47 ,13 
36 ,24 ,33 ,18 ,29 ,18 
38 ,25 ,40 ,14 ,15 ,21 
39 ,27 ,48 ,19 ,12 ,21 
50 ,29 ,44 ,18 ,25 ,23 
57 ,29 ,44 ,18 ,38 ,24 
60 ,19 ,41 ,18 ,35 ,27 
58 ,13 ,38 ,19 ,33 ,34 
55 ,26 ,38 ,26 ,38 ,35 
56 ,39 ,36 ,35 ,39 ,33 
41 ,40 ,37 ,32 ,38 ,35 
31 ,43 ,38 ,41 ,41 ,34 
21 ,42 ,31 ,45 ,44 ,29 
19 ,45 ,26 ,46 ,44 ,29 
19 ,53 ,25 ,41 ,45 ,30 
20 ,59 ,25 ,36 ,48 ,28 
14 ,56 ,25 ,36 ,49 ,26 
19 ,47 ,22 ,31 ,49 ,24 
22 ,43 ,22 ,28 ,45 ,24 
27 ,43 ,24 ,23 ,43 ,26 
37 ,43 ,26 ,26 ,48 ,25 
38 ,44 ,34 ,21 ,51 ,23 
43 ,44 ,40 ,25 ,50 ,24 
45 ,40 ,39 ,20 ,49 ,21 
49 ,37 ,39 ,18 ,45 ,17 
60 ,32 ,40 ,15 ,41 ,17 
56 ,34 ,47 ,18 ,40 ,16 
60 ,41 ,56 ,24 ,41 ,16 
71 ,30 ,58 ,27 ,44 ,18 
75 ,19 ,52 ,39 ,41 ,22 
86 ,21 ,35 ,42 ,40 ,24 
68 ,23 ,23 ,43 ,41 ,21 
61 ,25 ,17 ,37 ,37 ,20 
39 ,41 ,17 ,33 ,32 ,25 
30 ,62 ,19 ,32 ,38 ,28 
26 ,76 ,15 ,31 ,56 ,37 
26 ,75 ,12 ,32 ,72 ,39 
24 ,64 ,12 ,28 ,63 ,29 
18 ,58 ,11 ,33 ,51 ,27 
10 ,57 ,13 ,31 ,54 ,29 
10 ,48 ,10 ,36 ,49 ,26 
6 ,23 ,7 ,27 ,48 ,23 
0 ,8 ,7 ,32 ,56 ,28 
0 ,8 ,7 ,27 ,61 ,33 
0 ,5 ,8 ,28 ,57 ,31 
5 ,3 ,10 ,32 ,50 ,31 
14 ,0 ,10 ,31 ,49 ,33 
11 ,0 ,12 ,32 ,53 ,33 
5 ,1 ,14 ,24 ,53 ,34 
7 ,3 ,9 ,28 ,47 ,36 
8 ,3 ,5 ,35 ,45 ,47 
8 ,4 ,5 ,41 ,46 ,54 
0 ,7 ,6 ,46 ,45 ,55 
0 ,7 ,8 ,50 ,40 ,50 
0 ,5 ,8 ,46 ,25 ,36 
0 ,5 ,8 ,54 ,15 ,26 
5 ,7 ,8 ,43 ,16 ,31 
6 ,5 ,13 ,42 ,15 ,34 
11 ,5 ,19 ,27 ,17 ,28 
3 ,7 ,16 ,27 ,23 ,32 
7 ,10 ,12 ,32 ,24 ,34 
8 ,12 ,10 ,31 ,32 ,29 
8 ,15 ,11 ,36 ,39 ,25 
11 ,16 ,18 ,32 ,39 ,26 
15 ,18 ,20 ,33 ,37 ,33 
14 ,15 ,16 ,28 ,32 ,35 
11 ,13 ,12 ,31 ,31 ,30 
8 ,16 ,12 ,27 ,32 ,29 
9 ,15 ,14 ,28 ,28 ,34 
9 ,12 ,12 ,21 ,27 ,31 
9 ,12 ,11 ,29 ,30 ,26 
9 ,13 ,12 ,29 ,27 ,28 
12 ,13 ,14 ,36 ,24 ,32 
15 ,13 ,14 ,36 ,24 ,33 
13 ,11 ,12 ,38 ,25 ,40 
14 ,14 ,16 ,39 ,27 ,48 
13 ,15 ,19 ,50 ,29 ,44 
10 ,16 ,21 ,57 ,29 ,44 
15 ,10 ,26 ,60 ,19 ,41 
12 ,0 ,30 ,58 ,13 ,38 
20 ,3 ,32 ,55 ,26 ,38 
21 ,8 ,31 ,56 ,39 ,36 
24 ,12 ,27 ,41 ,40 ,37 
25 ,17 ,24 ,31 ,43 ,38 
24 ,26 ,23 ,21 ,42 ,31 
20 ,30 ,21 ,19 ,45 ,26 
11 ,31 ,18 ,19 ,53 ,25 
7 ,37 ,15 ,20 ,59 ,25 
13 ,46 ,14 ,14 ,56 ,25 
13 ,45 ,16 ,19 ,47 ,22 
19 ,38 ,18 ,22 ,43 ,22 
20 ,38 ,18 ,27 ,43 ,24 
23 ,31 ,20 ,37 ,43 ,26 
20 ,31 ,24 ,38 ,44 ,34 
20 ,33 ,22 ,43 ,44 ,40 
18 ,33 ,20 ,45 ,40 ,39 
13 ,31 ,19 ,49 ,37 ,39 
14 ,27 ,17 ,60 ,32 ,40 
20 ,25 ,15 ,56 ,34 ,47 
24 ,25 ,17 ,60 ,41 ,56 
