忠明平日PM2.5,埔里平日PM2.5,線西平日PM2.5,忠明假日PM2.5,埔里假日PM2.5,線西假日PM2.5
29 ,32 ,26 ,30 ,68 ,30 
25 ,31 ,22 ,32 ,77 ,28 
25 ,31 ,18 ,31 ,76 ,29 
18 ,32 ,14 ,42 ,68 ,32 
16 ,27 ,17 ,39 ,69 ,34 
7 ,27 ,17 ,37 ,70 ,29 
6 ,33 ,9 ,32 ,62 ,27 
10 ,35 ,9 ,40 ,56 ,30 
8 ,37 ,12 ,43 ,42 ,33 
13 ,34 ,10 ,43 ,37 ,32 
9 ,32 ,12 ,38 ,42 ,34 
24 ,40 ,18 ,46 ,45 ,41 
24 ,39 ,21 ,41 ,53 ,46 
22 ,37 ,18 ,45 ,55 ,38 
16 ,40 ,22 ,35 ,48 ,23 
19 ,38 ,24 ,39 ,44 ,17 
26 ,27 ,26 ,30 ,43 ,16 
28 ,26 ,26 ,39 ,48 ,17 
28 ,28 ,15 ,28 ,55 ,24 
29 ,28 ,13 ,28 ,54 ,32 
33 ,30 ,14 ,20 ,55 ,34 
26 ,37 ,10 ,26 ,56 ,29 
24 ,45 ,8 ,27 ,55 ,22 
20 ,44 ,15 ,30 ,57 ,20 
25 ,33 ,19 ,28 ,62 ,23 
21 ,30 ,17 ,33 ,69 ,25 
21 ,31 ,18 ,29 ,75 ,28 
15 ,28 ,18 ,37 ,84 ,33 
20 ,27 ,21 ,33 ,75 ,34 
16 ,31 ,21 ,33 ,60 ,35 
22 ,37 ,21 ,31 ,54 ,40 
20 ,35 ,23 ,28 ,48 ,42 
21 ,38 ,27 ,33 ,46 ,44 
23 ,40 ,30 ,35 ,41 ,45 
25 ,40 ,31 ,37 ,37 ,46 
25 ,45 ,35 ,37 ,42 ,52 
32 ,47 ,37 ,37 ,51 ,55 
29 ,45 ,36 ,43 ,53 ,53 
26 ,47 ,41 ,44 ,49 ,52 
25 ,37 ,43 ,48 ,42 ,47 
33 ,27 ,33 ,35 ,35 ,41 
38 ,31 ,19 ,29 ,31 ,40 
30 ,41 ,10 ,21 ,25 ,46 
26 ,49 ,11 ,28 ,20 ,53 
26 ,48 ,15 ,29 ,26 ,55 
25 ,43 ,21 ,38 ,33 ,58 
26 ,37 ,25 ,44 ,39 ,58 
29 ,35 ,28 ,54 ,40 ,51 
32 ,38 ,33 ,57 ,32 ,52 
32 ,37 ,30 ,63 ,30 ,61 
36 ,32 ,35 ,56 ,27 ,61 
41 ,34 ,48 ,49 ,22 ,48 
47 ,34 ,48 ,41 ,22 ,34 
49 ,32 ,50 ,30 ,25 ,28 
57 ,32 ,52 ,27 ,27 ,26 
51 ,32 ,46 ,12 ,24 ,28 
55 ,33 ,38 ,15 ,20 ,38 
44 ,37 ,35 ,19 ,16 ,45 
49 ,40 ,40 ,29 ,16 ,49 
44 ,46 ,35 ,32 ,20 ,48 
44 ,58 ,37 ,28 ,22 ,55 
45 ,58 ,44 ,31 ,28 ,66 
47 ,49 ,46 ,27 ,26 ,62 
53 ,46 ,53 ,31 ,14 ,52 
60 ,54 ,58 ,29 ,11 ,43 
75 ,64 ,61 ,33 ,12 ,35 
82 ,76 ,62 ,27 ,19 ,25 
78 ,84 ,61 ,27 ,27 ,27 
75 ,89 ,65 ,22 ,32 ,27 
76 ,102 ,69 ,30 ,38 ,20 
76 ,107 ,72 ,30 ,39 ,21 
72 ,104 ,71 ,42 ,42 ,26 
71 ,101 ,68 ,35 ,47 ,32 
73 ,102 ,67 ,27 ,50 ,37 
74 ,104 ,60 ,27 ,50 ,42 
75 ,100 ,53 ,37 ,54 ,42 
46 ,77 ,49 ,51 ,55 ,42 
48 ,78 ,50 ,45 ,45 ,45 
48 ,76 ,50 ,44 ,43 ,42 
45 ,72 ,47 ,40 ,42 ,42 
51 ,72 ,48 ,47 ,37 ,40 
51 ,74 ,48 ,44 ,39 ,38 
55 ,74 ,44 ,40 ,37 ,40 
53 ,75 ,46 ,37 ,34 ,41 
58 ,77 ,56 ,38 ,41 ,42 
65 ,72 ,58 ,48 ,42 ,43 
76 ,63 ,52 ,53 ,38 ,45 
90 ,57 ,47 ,61 ,33 ,49 
78 ,65 ,37 ,58 ,39 ,50 
57 ,97 ,25 ,55 ,57 ,44 
27 ,88 ,19 ,47 ,50 ,36 
15 ,79 ,12 ,45 ,48 ,36 
6 ,78 ,8 ,46 ,59 ,44 
8 ,72 ,7 ,42 ,64 ,42 
12 ,61 ,9 ,35 ,75 ,35 
14 ,51 ,15 ,32 ,85 ,32 
9 ,44 ,18 ,30 ,84 ,33 
16 ,42 ,20 ,36 ,81 ,34 
20 ,32 ,26 ,28 ,81 ,33 
23 ,27 ,21 ,31 ,68 ,30 
16 ,26 ,15 ,22 ,68 ,34 
10 ,18 ,9 ,23 ,75 ,42 
11 ,17 ,8 ,21 ,71 ,46 
13 ,18 ,10 ,26 ,73 ,39 
13 ,22 ,9 ,30 ,70 ,27 
12 ,23 ,10 ,29 ,65 ,20 
11 ,24 ,10 ,24 ,66 ,8 
11 ,27 ,10 ,15 ,65 ,2 
3 ,27 ,8 ,8 ,68 ,7 
10 ,26 ,8 ,5 ,63 ,16 
9 ,19 ,12 ,18 ,40 ,21 
15 ,15 ,17 ,25 ,19 ,26 
15 ,18 ,19 ,29 ,15 ,31 
19 ,24 ,21 ,21 ,12 ,24 
19 ,31 ,21 ,18 ,12 ,23 
18 ,37 ,17 ,13 ,20 ,21 
13 ,42 ,15 ,11 ,27 ,20 
11 ,46 ,14 ,11 ,27 ,18 
13 ,48 ,12 ,15 ,29 ,13 
6 ,46 ,10 ,22 ,38 ,14 
10 ,46 ,9 ,22 ,39 ,22 
5 ,53 ,10 ,27 ,34 ,30 
5 ,47 ,8 ,20 ,37 ,35 
5 ,41 ,8 ,26 ,33 ,39 
3 ,41 ,10 ,29 ,30 ,40 
6 ,38 ,14 ,36 ,30 ,42 
4 ,38 ,13 ,32 ,28 ,43 
13 ,35 ,11 ,28 ,24 ,41 
11 ,35 ,12 ,28 ,30 ,42 
12 ,42 ,12 ,27 ,29 ,39 
8 ,39 ,10 ,33 ,22 ,33 
11 ,41 ,11 ,35 ,25 ,31 
14 ,45 ,14 ,45 ,29 ,31 
19 ,46 ,12 ,47 ,30 ,30 
21 ,45 ,13 ,44 ,26 ,34 
16 ,42 ,16 ,41 ,19 ,40 
19 ,39 ,20 ,48 ,25 ,51 
23 ,54 ,20 ,43 ,41 ,56 
20 ,63 ,17 ,40 ,44 ,43 
16 ,58 ,13 ,33 ,42 ,29 
9 ,58 ,14 ,36 ,49 ,19 
11 ,62 ,13 ,44 ,54 ,20 
12 ,58 ,13 ,36 ,53 ,22 
12 ,46 ,10 ,33 ,54 ,22 
12 ,43 ,8 ,30 ,56 ,23 
8 ,42 ,11 ,32 ,56 ,26 
11 ,43 ,13 ,32 ,55 ,34 
9 ,39 ,12 ,29 ,51 ,42 
11 ,38 ,12 ,38 ,49 ,46 
11 ,38 ,13 ,41 ,48 ,51 
12 ,34 ,13 ,46 ,47 ,54 
9 ,33 ,16 ,46 ,43 ,60 
14 ,32 ,18 ,53 ,43 ,65 
12 ,26 ,18 ,48 ,43 ,68 
14 ,23 ,15 ,55 ,37 ,71 
15 ,23 ,13 ,51 ,37 ,79 
18 ,23 ,14 ,54 ,41 ,81 
12 ,26 ,20 ,46 ,41 ,57 
16 ,27 ,23 ,28 ,39 ,36 
18 ,15 ,18 ,27 ,27 ,30 
19 ,7 ,16 ,36 ,30 ,34 
12 ,7 ,15 ,33 ,46 ,39 
8 ,19 ,13 ,31 ,43 ,29 
3 ,27 ,19 ,43 ,45 ,26 
7 ,19 ,19 ,35 ,57 ,27 
8 ,20 ,16 ,32 ,61 ,20 
13 ,23 ,13 ,24 ,63 ,18 
19 ,25 ,15 ,29 ,70 ,20 
20 ,29 ,19 ,22 ,73 ,22 
24 ,31 ,19 ,22 ,71 ,23 
22 ,32 ,20 ,19 ,75 ,27 
19 ,31 ,19 ,27 ,87 ,32 
22 ,28 ,18 ,32 ,92 ,28 
27 ,33 ,18 ,30 ,66 ,22 
26 ,38 ,17 ,21 ,44 ,22 
21 ,33 ,18 ,14 ,46 ,20 
20 ,33 ,22 ,19 ,54 ,17 
28 ,40 ,25 ,21 ,61 ,15 
27 ,44 ,20 ,18 ,62 ,18 
28 ,42 ,19 ,19 ,61 ,23 
21 ,45 ,18 ,18 ,64 ,20 
24 ,47 ,20 ,18 ,59 ,20 
21 ,45 ,23 ,18 ,45 ,23 
24 ,40 ,22 ,27 ,28 ,24 
24 ,27 ,20 ,26 ,18 ,22 
26 ,24 ,20 ,27 ,27 ,20 
15 ,29 ,18 ,18 ,44 ,25 
19 ,28 ,14 ,25 ,49 ,28 
14 ,24 ,10 ,25 ,49 ,21 
18 ,23 ,13 ,27 ,51 ,16 
22 ,27 ,22 ,20 ,54 ,22 
23 ,31 ,26 ,14 ,59 ,19 
18 ,26 ,22 ,19 ,57 ,8 
14 ,20 ,22 ,12 ,56 ,5 
18 ,23 ,19 ,13 ,55 ,4 
16 ,23 ,12 ,6 ,49 ,4 
45 ,80 ,49 ,9 ,45 ,6 
59 ,76 ,61 ,9 ,42 ,12 
59 ,83 ,67 ,13 ,42 ,16 
69 ,84 ,70 ,11 ,42 ,18 
61 ,84 ,64 ,9 ,43 ,23 
68 ,84 ,54 ,6 ,41 ,27 
57 ,83 ,62 ,10 ,37 ,21 
63 ,85 ,76 ,9 ,38 ,16 
61 ,80 ,62 ,9 ,35 ,21 
71 ,70 ,53 ,14 ,31 ,30 
59 ,44 ,53 ,24 ,32 ,34 
48 ,24 ,44 ,35 ,29 ,24 
39 ,20 ,35 ,36 ,24 ,17 
33 ,20 ,26 ,32 ,23 ,14 
29 ,30 ,19 ,28 ,20 ,14 
25 ,39 ,12 ,18 ,24 ,14 
27 ,40 ,12 ,18 ,37 ,12 
27 ,41 ,14 ,10 ,39 ,12 
25 ,45 ,19 ,19 ,30 ,14 
28 ,48 ,21 ,20 ,26 ,20 
30 ,49 ,22 ,25 ,31 ,23 
33 ,50 ,32 ,20 ,33 ,24 
31 ,51 ,37 ,26 ,31 ,26 
41 ,49 ,33 ,28 ,29 ,30 
47 ,51 ,35 ,37 ,25 ,32 
48 ,51 ,38 ,30 ,27 ,31 
41 ,47 ,45 ,25 ,31 ,35 
37 ,46 ,52 ,22 ,29 ,36 
42 ,46 ,53 ,26 ,27 ,21 
44 ,45 ,57 ,16 ,30 ,10 
51 ,48 ,56 ,12 ,30 ,9 
45 ,47 ,56 ,7 ,30 ,10 
46 ,47 ,49 ,18 ,33 ,10 
38 ,45 ,37 ,15 ,38 ,11 
39 ,35 ,39 ,14 ,29 ,17 
35 ,30 ,36 ,9 ,17 ,18 
41 ,25 ,30 ,8 ,15 ,14 
40 ,26 ,29 ,12 ,18 ,14 
45 ,32 ,27 ,10 ,18 ,17 
46 ,37 ,19 ,18 ,13 ,18 
40 ,40 ,14 ,11 ,16 ,15 
30 ,50 ,12 ,11 ,24 ,16 
19 ,50 ,11 ,8 ,19 ,18 
20 ,42 ,15 ,15 ,23 ,17 
18 ,37 ,14 ,14 ,23 ,18 
14 ,31 ,12 ,12 ,26 ,19 
13 ,27 ,10 ,6 ,27 ,19 
11 ,31 ,11 ,7 ,25 ,20 
8 ,30 ,13 ,8 ,31 ,22 
14 ,33 ,14 ,6 ,30 ,20 
18 ,32 ,16 ,8 ,27 ,17 
22 ,33 ,16 ,6 ,24 ,15 
24 ,34 ,17 ,12 ,20 ,18 
26 ,27 ,20 ,15 ,25 ,26 
25 ,28 ,22 ,21 ,26 ,29 
23 ,33 ,23 ,18 ,20 ,33 
25 ,34 ,23 ,19 ,25 ,34 
27 ,27 ,26 ,20 ,35 ,29 
31 ,22 ,30 ,25 ,38 ,28 
37 ,20 ,21 ,25 ,40 ,37 
29 ,17 ,15 ,30 ,48 ,40 
24 ,19 ,17 ,32 ,51 ,42 
23 ,17 ,19 ,40 ,48 ,47 
27 ,24 ,16 ,50 ,44 ,52 
29 ,37 ,13 ,53 ,41 ,43 
22 ,45 ,12 ,57 ,42 ,42 
21 ,42 ,13 ,51 ,51 ,34 
22 ,37 ,19 ,49 ,59 ,34 
30 ,38 ,17 ,46 ,54 ,41 
28 ,35 ,13 ,43 ,51 ,43 
28 ,26 ,15 ,45 ,55 ,44 
23 ,27 ,19 ,47 ,47 ,46 
22 ,33 ,17 ,53 ,44 ,50 
23 ,33 ,18 ,53 ,47 ,50 
21 ,32 ,21 ,49 ,46 ,48 
19 ,29 ,18 ,55 ,47 ,50 
21 ,30 ,17 ,50 ,48 ,50 
20 ,33 ,20 ,49 ,49 ,50 
29 ,31 ,23 ,50 ,46 ,50 
30 ,32 ,20 ,56 ,48 ,54 
30 ,35 ,23 ,65 ,51 ,66 
29 ,27 ,31 ,61 ,45 ,73 
29 ,19 ,31 ,47 ,31 ,64 
37 ,17 ,18 ,32 ,20 ,48 
41 ,15 ,8 ,13 ,18 ,50 
31 ,20 ,12 ,24 ,22 ,62 
25 ,28 ,10 ,32 ,25 ,61 
16 ,31 ,11 ,49 ,26 ,53 
22 ,34 ,11 ,46 ,33 ,48 
23 ,29 ,13 ,49 ,45 ,54 
21 ,23 ,16 ,49 ,47 ,65 
16 ,24 ,8 ,61 ,57 ,67 
12 ,22 ,9 ,62 ,70 ,66 
10 ,19 ,13 ,68 ,70 ,61 
14 ,19 ,8 ,73 ,72 ,61 
13 ,22 ,8 ,79 ,80 ,67 
24 ,16 ,20 ,72 ,79 ,53 
19 ,11 ,16 ,57 ,69 ,29 
19 ,11 ,11 ,32 ,60 ,16 
21 ,13 ,9 ,22 ,59 ,14 
21 ,13 ,14 ,11 ,57 ,23 
19 ,14 ,20 ,13 ,54 ,31 
16 ,12 ,20 ,18 ,56 ,37 
18 ,12 ,18 ,22 ,59 ,38 
14 ,16 ,16 ,37 ,59 ,31 
12 ,16 ,16 ,30 ,65 ,32 
6 ,12 ,20 ,30 ,74 ,35 
9 ,13 ,23 ,29 ,60 ,38 
15 ,19 ,26 ,33 ,38 ,34 
18 ,24 ,25 ,26 ,30 ,28 
19 ,31 ,21 ,27 ,30 ,23 
14 ,43 ,20 ,25 ,41 ,24 
19 ,48 ,20 ,24 ,59 ,29 
10 ,40 ,14 ,26 ,63 ,26 
6 ,32 ,10 ,26 ,61 ,22 
6 ,33 ,15 ,24 ,68 ,21 
13 ,34 ,16 ,23 ,70 ,25 
15 ,35 ,11 ,23 ,72 ,24 
10 ,42 ,8 ,23 ,77 ,18 
7 ,41 ,8 ,14 ,79 ,18 
7 ,31 ,8 ,15 ,83 ,20 
8 ,33 ,10 ,12 ,83 ,18 
8 ,34 ,11 ,13 ,77 ,15 
5 ,32 ,9 ,12 ,73 ,15 
6 ,29 ,13 ,16 ,74 ,14 
4 ,27 ,10 ,15 ,76 ,17 
5 ,29 ,6 ,10 ,75 ,17 
4 ,28 ,18 ,14 ,75 ,15 
7 ,37 ,17 ,28 ,80 ,20 
7 ,40 ,6 ,36 ,86 ,17 
9 ,39 ,8 ,36 ,75 ,11 
15 ,37 ,11 ,24 ,50 ,14 
19 ,28 ,15 ,30 ,48 ,18 
16 ,25 ,13 ,26 ,63 ,14 
10 ,27 ,8 ,30 ,76 ,16 
4 ,26 ,10 ,26 ,87 ,18 
7 ,28 ,12 ,29 ,93 ,11 
8 ,28 ,8 ,30 ,99 ,8 
9 ,28 ,4 ,23 ,103 ,10 
11 ,30 ,8 ,27 ,105 ,8 
6 ,31 ,12 ,29 ,99 ,8 
11 ,30 ,14 ,36 ,91 ,10 
7 ,28 ,15 ,35 ,93 ,8 
13 ,25 ,13 ,26 ,92 ,10 
8 ,27 ,14 ,30 ,91 ,12 
11 ,26 ,13 ,24 ,90 ,14 
7 ,25 ,12 ,26 ,93 ,14 
8 ,29 ,12 ,24 ,94 ,15 
1 ,28 ,10 ,27 ,92 ,14 
5 ,26 ,13 ,25 ,92 ,8 
13 ,27 ,13 ,12 ,95 ,5 
13 ,31 ,10 ,6 ,97 ,8 
18 ,40 ,10 ,9 ,104 ,9 
9 ,42 ,9 ,13 ,103 ,10 
20 ,46 ,8 ,16 ,92 ,16 
15 ,44 ,16 ,19 ,90 ,18 
9 ,32 ,24 ,22 ,86 ,21 
19 ,33 ,23 ,25 ,59 ,25 
19 ,31 ,24 ,21 ,37 ,26 
28 ,28 ,29 ,26 ,41 ,29 
25 ,31 ,31 ,24 ,56 ,25 
26 ,33 ,35 ,27 ,60 ,21 
29 ,31 ,32 ,25 ,59 ,21 
31 ,37 ,26 ,28 ,65 ,24 
28 ,39 ,27 ,32 ,60 ,30 
30 ,31 ,28 ,29 ,55 ,29 
29 ,27 ,27 ,29 ,57 ,30 
27 ,28 ,24 ,28 ,59 ,26 
21 ,26 ,23 ,26 ,62 ,27 
13 ,19 ,22 ,26 ,64 ,27 
21 ,16 ,20 ,24 ,60 ,26 
15 ,25 ,20 ,29 ,59 ,27 
16 ,32 ,19 ,24 ,64 ,27 
10 ,32 ,18 ,22 ,65 ,28 
12 ,31 ,18 ,21 ,62 ,29 
13 ,33 ,17 ,20 ,66 ,28 
10 ,33 ,16 ,21 ,70 ,24 
13 ,27 ,18 ,29 ,72 ,19 
16 ,25 ,18 ,29 ,76 ,19 
20 ,26 ,23 ,28 ,69 ,20 
15 ,31 ,27 ,24 ,51 ,22 
8 ,38 ,20 ,25 ,44 ,29 
11 ,35 ,17 ,30 ,49 ,33 
15 ,30 ,20 ,29 ,58 ,29 
18 ,29 ,17 ,26 ,61 ,26 
11 ,25 ,19 ,22 ,59 ,26 
11 ,12 ,20 ,21 ,60 ,30 
9 ,10 ,17 ,29 ,60 ,30 
11 ,12 ,13 ,36 ,60 ,32 
9 ,16 ,11 ,37 ,60 ,31 
13 ,25 ,13 ,29 ,60 ,25 
11 ,27 ,14 ,23 ,59 ,24 
14 ,30 ,21 ,24 ,56 ,25 
13 ,30 ,21 ,27 ,53 ,21 
11 ,28 ,22 ,29 ,50 ,20 
16 ,27 ,25 ,28 ,50 ,22 
19 ,26 ,30 ,24 ,53 ,22 
23 ,24 ,29 ,16 ,55 ,22 
27 ,20 ,26 ,18 ,55 ,20 
27 ,19 ,26 ,16 ,58 ,17 
24 ,22 ,28 ,21 ,65 ,17 
21 ,20 ,27 ,16 ,72 ,18 
20 ,24 ,27 ,19 ,68 ,25 
26 ,24 ,33 ,22 ,55 ,27 
27 ,23 ,38 ,33 ,46 ,25 
35 ,27 ,35 ,38 ,49 ,24 
35 ,28 ,55 ,35 ,58 ,24 
39 ,26 ,74 ,28 ,63 ,40 
41 ,30 ,35 ,26 ,63 ,40 
41 ,39 ,32 ,33 ,59 ,27 
36 ,46 ,31 ,31 ,56 ,27 
30 ,47 ,31 ,31 ,59 ,33 
29 ,43 ,33 ,31 ,60 ,48 
38 ,43 ,32 ,33 ,59 ,54 
40 ,41 ,33 ,41 ,63 ,48 
42 ,38 ,35 ,42 ,65 ,43 
32 ,34 ,31 ,37 ,64 ,41 
29 ,31 ,20 ,36 ,65 ,42 
28 ,34 ,15 ,30 ,68 ,45 
29 ,37 ,15 ,37 ,70 ,44 
27 ,34 ,17 ,37 ,66 ,46 
25 ,32 ,24 ,38 ,62 ,50 
26 ,29 ,30 ,41 ,60 ,51 
27 ,27 ,28 ,37 ,65 ,50 
33 ,26 ,24 ,37 ,68 ,53 
25 ,20 ,21 ,35 ,56 ,47 
21 ,12 ,19 ,33 ,37 ,37 
19 ,9 ,20 ,37 ,27 ,40 
15 ,13 ,22 ,31 ,27 ,32 
11 ,16 ,16 ,28 ,30 ,25 
11 ,19 ,15 ,24 ,32 ,26 
19 ,20 ,21 ,20 ,26 ,27 
26 ,16 ,20 ,21 ,20 ,30 
22 ,18 ,20 ,21 ,26 ,30 
24 ,25 ,21 ,30 ,30 ,22 
24 ,23 ,19 ,28 ,31 ,21 
26 ,19 ,28 ,20 ,32 ,21 
30 ,19 ,34 ,13 ,31 ,15 
33 ,18 ,28 ,16 ,32 ,13 
40 ,19 ,30 ,22 ,34 ,16 
36 ,19 ,38 ,21 ,32 ,15 
31 ,20 ,38 ,15 ,30 ,12 
29 ,23 ,34 ,18 ,31 ,18 
29 ,22 ,34 ,16 ,34 ,23 
25 ,20 ,31 ,15 ,34 ,24 
18 ,17 ,22 ,12 ,33 ,28 
24 ,15 ,15 ,14 ,34 ,26 
21 ,20 ,15 ,23 ,38 ,23 
21 ,23 ,22 ,24 ,42 ,22 
14 ,22 ,34 ,27 ,47 ,19 
24 ,14 ,45 ,22 ,49 ,21 
26 ,12 ,48 ,24 ,48 ,22 
29 ,14 ,49 ,22 ,49 ,27 
32 ,15 ,50 ,29 ,44 ,26 
43 ,24 ,44 ,33 ,40 ,28 
43 ,37 ,36 ,32 ,38 ,36 
46 ,47 ,24 ,29 ,40 ,37 
42 ,55 ,21 ,26 ,48 ,34 
42 ,64 ,27 ,32 ,45 ,27 
36 ,69 ,29 ,26 ,41 ,23 
33 ,69 ,32 ,24 ,41 ,21 
37 ,65 ,35 ,16 ,39 ,20 
46 ,64 ,48 ,16 ,38 ,16 
54 ,62 ,61 ,9 ,39 ,10 
51 ,64 ,62 ,8 ,39 ,11 
53 ,65 ,65 ,6 ,32 ,12 
50 ,60 ,65 ,12 ,29 ,14 
50 ,61 ,63 ,7 ,32 ,16 
50 ,61 ,61 ,8 ,31 ,17 
51 ,46 ,61 ,5 ,31 ,18 
51 ,37 ,67 ,9 ,41 ,18 
51 ,42 ,68 ,14 ,46 ,19 
45 ,39 ,63 ,18 ,46 ,18 
41 ,28 ,57 ,19 ,50 ,16 
35 ,24 ,48 ,21 ,53 ,13 
30 ,25 ,42 ,23 ,52 ,11 
29 ,27 ,35 ,15 ,51 ,14 
25 ,28 ,25 ,19 ,50 ,17 
28 ,27 ,20 ,18 ,50 ,20 
23 ,27 ,18 ,16 ,48 ,20 
32 ,30 ,20 ,16 ,48 ,18 
30 ,32 ,20 ,14 ,54 ,19 
29 ,30 ,18 ,14 ,50 ,18 
19 ,27 ,19 ,18 ,44 ,15 
24 ,30 ,23 ,13 ,44 ,15 
25 ,34 ,26 ,13 ,45 ,17 
38 ,33 ,21 ,13 ,46 ,20 
31 ,33 ,25 ,14 ,46 ,19 
35 ,33 ,35 ,8 ,41 ,17 
33 ,30 ,31 ,9 ,33 ,15 
35 ,29 ,27 ,8 ,32 ,15 
32 ,29 ,27 ,11 ,32 ,14 
24 ,28 ,28 ,6 ,29 ,11 
29 ,29 ,33 ,4 ,25 ,10 
30 ,31 ,34 ,0 ,22 ,14 
25 ,34 ,41 ,6 ,20 ,17 
25 ,37 ,47 ,8 ,17 ,15 
32 ,29 ,45 ,14 ,17 ,15 
33 ,23 ,45 ,12 ,20 ,18 
31 ,22 ,55 ,15 ,19 ,21 
36 ,20 ,62 ,18 ,19 ,21 
49 ,26 ,52 ,19 ,19 ,18 
56 ,32 ,45 ,20 ,19 ,16 
56 ,45 ,47 ,13 ,19 ,19 
50 ,55 ,41 ,18 ,23 ,21 
50 ,61 ,41 ,16 ,29 ,20 
46 ,72 ,46 ,19 ,33 ,18 
44 ,79 ,53 ,23 ,39 ,23 
41 ,88 ,60 ,21 ,46 ,26 
45 ,87 ,69 ,28 ,49 ,26 
49 ,80 ,75 ,24 ,46 ,31 
55 ,79 ,78 ,29 ,43 ,32 
14 ,19 ,13 ,24 ,39 ,27 
15 ,19 ,15 ,26 ,30 ,24 
15 ,23 ,15 ,27 ,28 ,24 
13 ,25 ,16 ,31 ,24 ,28 
7 ,19 ,15 ,35 ,18 ,29 
10 ,17 ,14 ,31 ,16 ,26 
9 ,22 ,13 ,26 ,18 ,26 
8 ,25 ,17 ,24 ,23 ,34 
5 ,28 ,22 ,31 ,23 ,40 
11 ,27 ,20 ,43 ,25 ,32 
15 ,24 ,17 ,46 ,20 ,28 
18 ,18 ,19 ,44 ,15 ,33 
16 ,13 ,20 ,42 ,13 ,35 
18 ,10 ,22 ,43 ,19 ,35 
19 ,12 ,16 ,43 ,27 ,36 
18 ,13 ,12 ,44 ,25 ,29 
20 ,15 ,12 ,42 ,35 ,30 
14 ,18 ,10 ,42 ,56 ,34 
12 ,17 ,10 ,37 ,70 ,36 
14 ,17 ,10 ,40 ,75 ,39 
10 ,15 ,14 ,43 ,80 ,35 
21 ,14 ,13 ,56 ,78 ,29 
23 ,18 ,11 ,51 ,78 ,27 
21 ,19 ,14 ,57 ,88 ,30 
16 ,20 ,12 ,58 ,88 ,36 
10 ,19 ,15 ,67 ,58 ,40 
15 ,17 ,16 ,64 ,35 ,40 
9 ,19 ,15 ,72 ,41 ,35 
4 ,20 ,18 ,75 ,33 ,38 
1 ,16 ,17 ,73 ,30 ,43 
9 ,14 ,18 ,65 ,38 ,51 
8 ,10 ,17 ,62 ,39 ,67 
14 ,9 ,15 ,69 ,46 ,70 
10 ,9 ,15 ,69 ,51 ,69 
20 ,11 ,22 ,68 ,41 ,70 
22 ,12 ,31 ,64 ,30 ,70 
26 ,12 ,37 ,77 ,28 ,59 
31 ,10 ,47 ,75 ,44 ,47 
30 ,14 ,51 ,64 ,58 ,47 
29 ,31 ,48 ,46 ,58 ,41 
27 ,39 ,44 ,44 ,76 ,39 
37 ,40 ,41 ,48 ,96 ,34 
39 ,41 ,39 ,47 ,99 ,38 
40 ,42 ,35 ,44 ,106 ,45 
40 ,53 ,37 ,47 ,110 ,44 
40 ,56 ,41 ,54 ,106 ,52 
39 ,53 ,39 ,59 ,106 ,64 
37 ,59 ,34 ,60 ,100 ,70 
35 ,61 ,30 ,59 ,92 ,73 
26 ,60 ,24 ,61 ,94 ,76 
19 ,58 ,16 ,65 ,91 ,67 
11 ,58 ,15 ,61 ,83 ,63 
13 ,55 ,17 ,62 ,83 ,64 
11 ,47 ,14 ,58 ,81 ,58 
12 ,46 ,13 ,63 ,80 ,57 
18 ,43 ,13 ,58 ,84 ,57 
16 ,40 ,11 ,53 ,83 ,56 
13 ,38 ,13 ,45 ,73 ,64 
9 ,29 ,21 ,44 ,55 ,68 
12 ,19 ,26 ,43 ,30 ,58 
16 ,18 ,29 ,35 ,20 ,50 
15 ,25 ,27 ,32 ,28 ,38 
19 ,27 ,22 ,39 ,34 ,48 
12 ,27 ,23 ,45 ,38 ,57 
11 ,30 ,19 ,44 ,53 ,52 
21 ,32 ,16 ,36 ,65 ,52 
16 ,30 ,18 ,32 ,69 ,57 
16 ,28 ,17 ,35 ,73 ,69 
14 ,30 ,16 ,36 ,73 ,75 
13 ,33 ,15 ,35 ,76 ,76 
19 ,34 ,10 ,37 ,79 ,77 
14 ,31 ,11 ,42 ,81 ,89 
18 ,30 ,16 ,47 ,83 ,97 
12 ,30 ,17 ,47 ,77 ,79 
16 ,28 ,16 ,47 ,77 ,60 
14 ,29 ,17 ,44 ,78 ,61 
11 ,29 ,18 ,47 ,75 ,57 
13 ,30 ,12 ,56 ,72 ,53 
13 ,32 ,8 ,64 ,76 ,60 
16 ,31 ,12 ,68 ,77 ,69 
18 ,26 ,19 ,69 ,77 ,73 
27 ,24 ,22 ,75 ,83 ,74 
33 ,27 ,22 ,65 ,83 ,77 
33 ,28 ,20 ,58 ,73 ,77 
31 ,28 ,25 ,50 ,45 ,76 
32 ,32 ,21 ,59 ,31 ,75 
30 ,39 ,13 ,60 ,38 ,65 
25 ,46 ,17 ,61 ,45 ,48 
18 ,44 ,20 ,60 ,50 ,44 
22 ,37 ,22 ,58 ,56 ,46 
22 ,31 ,21 ,47 ,57 ,45 
23 ,34 ,20 ,37 ,62 ,45 
20 ,38 ,27 ,30 ,65 ,52 
22 ,38 ,27 ,29 ,59 ,57 
19 ,40 ,28 ,28 ,55 ,54 
19 ,42 ,27 ,30 ,51 ,47 
22 ,39 ,22 ,28 ,51 ,43 
