Time,Temp,PM10,PM2.5,Rain,RH,Wind
11:00,20,36,15,0,49,1.1
12:00,21,35,12,0,47,1.1
13:00,21,28,20,0,47,1
14:00,21,34,21,0,48,1.4
15:00,20,48,24,0,50,1.1
16:00,20,56,25,0,53,0.7
17:00,18,51,24,0,56,0.9
18:00,17,40,20,0,60,0.8
19:00,16,35,11,0,61,1
20:00,16,31,7,0,62,0.5
21:00,16,29,13,0,63,0.5
22:00,16,30,13,0,64,0.5
23:00,15,32,19,0,66,0.4
00:00,15,33,20,0,66,0.9
01:00,15,28,23,0,67,0.5
02:00,14,23,20,0,68,0.5
03:00,14,23,20,0,70,0.6
04:00,14,24,18,0,71,0.4
05:00,14,26,13,0,69,0.4
06:00,14,29,14,0,70,1.1
07:00,14,38,20,0,71,1
08:00,15,43,24,0,69,1.1
09:00,17,52,24,0,60,1.5
10:00,19,53,30,0,54,0.9
11:00,20,41,28,0,51,0.7
12:00,21,35,26,0,52,1.5
13:00,21,41,21,0,56,2.8
14:00,20,66,27,0,57,1.3
15:00,20,70,30,0,59,1.3
16:00,19,79,35,0,63,0.9
17:00,17,85,32,0,68,0.9
18:00,16,90,32,0,71,0.7
19:00,16,87,31,0,72,0.9
20:00,16,75,38,0,71,0.6
21:00,16,77,39,0,72,0.5
22:00,15,70,38,0,73,0.6
23:00,15,57,35,0,73,0.7
00:00,15,44,30,0,72,0.6
01:00,14,38,27,0,73,0.5
02:00,14,39,22,0,71,0.9
03:00,14,40,23,0,70,1.6
04:00,14,38,25,0,66,2.1
05:00,14,43,25,0,62,2.4
06:00,14,41,26,0,60,2.5
07:00,14,50,37,0,60,2.9
08:00,15,54,40,0,57,2.6
09:00,17,63,46,0,52,2.4
10:00,18,73,48,0,47,2.8
11:00,19,88,62,0,43,1
12:00,19,97,64,0,40,1.3
13:00,20,91,60,0,40,1.1
14:00,20,93,51,0,41,1.4
15:00,19,90,57,0,41,1
16:00,18,97,60,0,44,1.1
17:00,16,102,66,0,50,1.1
18:00,15,110,68,0,52,0.8
19:00,15,115,78,0,54,1
20:00,15,103,75,0,56,0.9
21:00,14,102,74,0,57,0.6
22:00,14,98,71,0,58,0.9
23:00,14,103,71,0,59,1.3
00:00,14,97,65,0,61,0.5
01:00,13,96,58,0,62,0.5
02:00,13,89,60,0,63,0.6
03:00,13,85,58,0,63,1.2
04:00,13,79,56,0,64,1
05:00,13,76,50,0,63,0.9
06:00,13,73,51,0,64,0.7
07:00,13,61,56,0,65,0.3
08:00,14,68,53,0,63,0.4
09:00,15,79,55,0,60,0.6
10:00,17,96,56,0,55,0.3
11:00,19,99,67,0,48,0.3
12:00,20,99,64,0,47,0.8
13:00,20,90,49,0,50,1.2
14:00,19,76,36,0,56,1.9
15:00,18,57,25,0,62,1.3
16:00,17,58,22,0,64,1
17:00,17,54,15,0,67,1.1
18:00,16,49,16,0,67,0.5
19:00,16,40,23,0,67,1.1
20:00,15,35,21,0,68,0.7
21:00,15,45,22,0,68,0.7
22:00,15,44,16,0,68,1.4
23:00,15,42,21,0,67,1.3
00:00,15,29,13,0,66,1
01:00,15,22,12,0,65,1.7
02:00,15,26,10,0,62,1.3
03:00,14,30,12,0,61,1.1
04:00,14,35,8,0,62,1.1
05:00,14,33,13,0,63,1.4
06:00,14,41,14,0,63,1.1
07:00,14,39,16,0,63,1.1
08:00,15,37,13,0,61,2
09:00,16,34,24,0,54,1.2
10:00,18,44,29,0,46,1.5
11:00,20,54,33,0,43,1.7
12:00,20,67,35,0,42,1.1
13:00,21,78,37,0,41,1.7
14:00,21,80,41,0,41,1.2
15:00,20,82,45,0,42,1.3
16:00,19,83,56,0,45,0.7
17:00,18,91,41,0,49,0.7
18:00,17,95,51,0,53,0.9
19:00,16,91,45,0,56,0.7
20:00,15,88,50,0,57,0.6
21:00,15,85,48,0,59,1
22:00,15,84,49,0,60,0.7
23:00,14,79,48,0,61,1.1
00:00,14,79,47,0,62,0.7
01:00,15,75,43,0,62,0.3
02:00,14,70,49,0,64,0.4
03:00,14,68,47,0,65,0.4
04:00,15,66,47,0,64,0.4
05:00,15,73,43,0,64,0.5
06:00,15,78,43,0,66,0.3
07:00,16,93,50,0,66,0.5
08:00,17,99,55,0,62,1.3
09:00,19,113,62,0,58,0.5
10:00,20,116,63,0,54,0.5
11:00,22,115,59,0,51,0.4
12:00,23,100,57,0,48,1.2
13:00,23,87,59,0,48,0.6
14:00,22,87,57,0,50,2.5
15:00,21,96,59,0,53,1.5
16:00,20,106,58,0,56,1.2
17:00,20,111,66,0,59,0.7
18:00,19,106,56,0,69,0.9
19:00,18,98,49,0,73,0.8
20:00,17,94,38,0,77,1
21:00,17,96,37,0,78,0.9
22:00,17,95,32,0,78,0.7
23:00,17,90,32,0,79,0.9
00:00,17,83,31,0,79,0.9
01:00,17,84,30,0.2,81,0.6
02:00,17,85,29,0,83,1
03:00,17,80,36,0.4,84,0.6
04:00,17,80,41,0,84,0.7
05:00,17,72,42,0,84,0.4
06:00,16,79,40,0,84,0.8
07:00,16,79,33,0,84,0.8
08:00,17,78,33,0,81,0.8
09:00,17,78,32,0,78,0.8
10:00,18,74,38,0,73,1
11:00,20,79,41,0,66,0.7
12:00,20,73,38,0,62,1.8
13:00,21,72,33,0,62,1.7
14:00,21,71,36,0,60,1.4
15:00,21,75,38,0,57,1.1
16:00,20,80,42,0,59,0.9
17:00,18,82,32,0,66,1.4
18:00,18,89,38,0,67,0.7
19:00,17,88,44,0,68,0.6
20:00,17,92,48,0,67,0.8
21:00,17,81,49,0,63,0.4
22:00,17,74,45,0,59,0.4
23:00,16,65,43,0,57,0.8
00:00,16,59,37,0,58,1.2
01:00,16,51,30,0,55,0.8
02:00,16,46,28,0,48,0.5
03:00,16,40,28,0,41,0.5
04:00,15,37,21,0,38,0.3
05:00,15,32,23,0,39,0.6
06:00,15,39,19,0,45,0.6
07:00,15,44,25,0,48,0.5
08:00,17,53,28,0,45,1.1
09:00,18,62,35,0,35,1.1
10:00,19,61,37,0,30,0.9
11:00,20,69,32,0,29,0.8
12:00,20,66,33,0,33,1.4
13:00,19,79,39,0,41,1.1
14:00,20,86,47,0,43,1.5
15:00,20,103,48,0,44,1
16:00,19,124,60,0,47,0.9
17:00,17,139,68,0,52,1
18:00,16,152,88,0,54,0.9
19:00,16,155,91,0,55,1.7
20:00,15,150,89,0,51,2.3
21:00,16,127,80,0,39,1.6
22:00,15,100,63,0,32,1.4
23:00,15,65,50,0,28,1.3
00:00,15,50,25,0,26,1.2
01:00,15,35,12,0,26,1.5
02:00,14,32,6,0,30,0.5
03:00,14,21,13,0,31,0.6
04:00,13,21,20,0,37,0.6
05:00,12,31,28,0,54,0.2
06:00,11,46,29,0,60,0.5
07:00,12,50,25,0,48,0.2
08:00,13,58,22,0,50,0.7
09:00,15,54,29,0,37,0.3
10:00,18,55,35,0,26,0.4
11:00,20,59,36,0,33,1.4
12:00,21,65,32,0,34,1
13:00,22,85,40,0,34,1.4
14:00,21,84,46,0,38,2.1
15:00,21,103,48,0,42,1.7
16:00,20,108,54,0,44,0.9
17:00,19,117,53,0,47,0.9
18:00,19,114,58,0,48,1.7
19:00,18,117,61,0,50,0.5
20:00,18,122,71,0,54,0.3
21:00,17,127,73,0,55,0.2
22:00,17,130,79,0,59,0.3
23:00,16,133,80,0,60,0.3
00:00,16,134,77,0,62,0.1
01:00,15,125,69,0,63,0.2
02:00,15,117,67,0,64,0.3
03:00,14,99,63,0,62,0.2
04:00,14,86,56,0,64,0.1
05:00,13,79,49,0,68,0.5
06:00,12,78,57,0,70,0.4
07:00,13,77,59,0,68,0.3
08:00,14,79,62,0,62,0.4
09:00,17,76,56,0,49,0.5
10:00,19,72,58,0,37,0.8
11:00,21,61,44,0,32,0.8
12:00,22,74,47,0,34,0.6
13:00,22,90,53,0,39,1.5
14:00,21,97,63,0,52,2.3
15:00,19,91,63,0,57,2.2
16:00,18,89,61,0,58,1
17:00,18,95,62,0,60,1.2
18:00,18,104,64,0,65,1.1
19:00,18,118,67,0,64,0.9
20:00,18,119,66,0,60,0.9
21:00,17,112,74,0,59,0.1
22:00,16,105,75,0,64,0.1
23:00,16,117,79,0,65,0.4
00:00,17,118,72,0,63,0.4
01:00,17,108,73,0,62,0.1
02:00,17,97,73,0,64,0.7
03:00,17,98,75,0,64,0.2
04:00,16,99,69,0,65,0.3
05:00,17,89,69,0,63,0.1
06:00,17,83,68,0,64,1
07:00,16,93,66,0,72,1.3
08:00,17,106,67,0,67,0.6
09:00,19,108,66,0,59,0.2
10:00,21,105,72,0,53,0.5
11:00,21,96,64,0,47,0.2
12:00,22,95,64,0,43,0.3
13:00,23,94,66,0,43,0.3
14:00,23,95,63,0,38,0.5
15:00,23,101,60,0,48,1.2
16:00,22,106,62,0,55,0.8
17:00,21,113,68,0,59,0.5
18:00,20,120,74,0,61,0.8
19:00,19,124,72,0,63,0.8
20:00,19,115,72,0,64,0.8
21:00,18,93,55,0,73,0.8
22:00,17,66,42,0,77,1.1
23:00,17,51,26,0,78,0.6
00:00,17,44,28,0,78,0.8
01:00,17,46,26,0,78,0.9
02:00,17,54,36,0,77,0.9
03:00,17,59,38,0.2,76,0.8
04:00,17,54,37,0.6,74,0.5
05:00,17,47,38,0.6,74,1.4
06:00,16,47,35,0.2,76,1.2
07:00,16,51,39,0.2,77,1.7
08:00,17,63,44,0,76,0.5
09:00,18,72,45,0,74,0.7
10:00,18,84,44,0,73,1.2
11:00,20,86,42,0,69,0.5
12:00,21,74,36,0,66,0.9
13:00,20,73,38,0,69,1.4
14:00,20,63,37,0,69,0.8
15:00,19,69,44,0,72,1.4
16:00,19,75,46,0,74,1
17:00,18,84,48,0,74,0.9
18:00,18,84,47,0,73,0.6
19:00,18,68,40,0,71,0.9
20:00,18,70,40,0,70,0.9
21:00,18,71,44,0,70,0.5
22:00,18,82,46,0,70,0.5
23:00,18,83,46,0,71,0.4
00:00,18,84,48,0,74,0.6
01:00,17,83,50,0,79,0.8
02:00,17,79,53,0,81,0.9
03:00,17,79,47,0,83,1
04:00,17,66,42,0.4,84,0.3
05:00,17,45,33,0.2,86,0.6
06:00,17,34,33,0,86,0.3
07:00,17,35,36,0,89,0.3
08:00,18,39,32,0,86,0.6
09:00,18,40,30,0,81,0.7
10:00,19,31,25,0,76,0.6
11:00,19,39,27,0,74,1.1
12:00,20,41,25,0,72,0.8
13:00,20,54,25,0,70,1.2
14:00,20,56,32,0,70,1
15:00,20,64,29,0,70,1.1
