忠明 PM10,忠明 PM2.5,忠明 RH,忠明 Temp,忠明 Rain,忠明 Wind
52,30,68,19,0,1.3
47,26,70,19,0,1.5
46,26,73,18,0,1.1
44,24,75,18,0,1.6
35,18,77,17,0,1.5
24,10,78,16,0,1.8
23,10,80,16,0.6,0.6
17,6,82,16,2,0.7
8,0,84,16,1.6,0.5
7,0,85,16,2.4,0.1
8,0,88,16,1.8,0.7
15,5,88,16,1.4,0.4
28,14,88,16,0,0.5
23,11,86,17,0.6,0.2
15,5,88,17,0.2,0.3
19,7,87,16,0,1.3
20,8,85,15,0,0.6
20,8,82,15,0,0.9
8,0,77,15,0,0.8
8,0,72,17,0,1
9,0,66,18,0,2
10,0,62,19,0,2.7
16,5,60,19,0,1.3
17,6,58,20,0,1.1
18,11,56,20,0,1.1
26,3,59,19,0,0.9
25,7,64,17,0,1.4
23,8,67,16,0,1
27,8,66,15,0,0.8
28,11,67,15,0,0.7
30,15,65,15,0,2
22,14,65,14,0,1.4
23,11,67,14,0,1.3
19,8,67,14,0,1.5
21,9,68,14,0,0.8
19,9,68,14,0,0.8
17,9,69,13,0,1.3
15,9,69,13,0,1.3
18,12,68,13,0,1.2
22,15,68,13,0,1.2
24,13,67,14,0,2.1
25,14,62,15,0,2.4
27,13,57,17,0,1.5
33,10,52,18,0,1.9
36,15,49,20,0,1.1
35,12,47,21,0,1.1
28,20,47,21,0,1
34,21,48,21,0,1.4
48,24,50,20,0,1.1
56,25,53,20,0,0.7
51,24,56,18,0,0.9
40,20,60,17,0,0.8
35,11,61,16,0,1
31,7,62,16,0,0.5
29,13,63,16,0,0.5
30,13,64,16,0,0.5
32,19,66,15,0,0.4
33,20,66,15,0,0.9
28,23,67,15,0,0.5
23,20,68,14,0,0.5
23,20,70,14,0,0.6
24,18,71,14,0,0.4
26,13,69,14,0,0.4
29,14,70,14,0,1.1
38,20,71,14,0,1
43,24,69,15,0,1.1
52,24,60,17,0,1.5
53,30,54,19,0,0.9
41,28,51,20,0,0.7
35,26,52,21,0,1.5
41,21,56,21,0,2.8
66,27,57,20,0,1.3
70,30,59,20,0,1.3
79,35,63,19,0,0.9
85,32,68,17,0,0.9
90,32,71,16,0,0.7
87,31,72,16,0,0.9
75,38,71,16,0,0.6
77,39,72,16,0,0.5
70,38,73,15,0,0.6
57,35,73,15,0,0.7
44,30,72,15,0,0.6
38,27,73,14,0,0.5
39,22,71,14,0,0.9
40,23,70,14,0,1.6
38,25,66,14,0,2.1
43,25,62,14,0,2.4
41,26,60,14,0,2.5
50,37,60,14,0,2.9
54,40,57,15,0,2.6
63,46,52,17,0,2.4
73,48,47,18,0,2.8
